Year,Month,Gold_USD_m_mean,NFLX_AdjClose_m_mean
2002,5,314.49,1.1358335000000002
2002,6,321.18,1.0380714
2002,7,313.29,1.110000090909091
2002,8,310.25,0.8709739545454546
2002,9,319.14,0.82807145
2002,10,316.56,0.5602173913043478
2002,11,319.07,0.6841786
2002,12,331.92,0.792313
2003,1,356.86,0.8511224761904762
2003,2,358.97,0.9924436315789473
2003,3,340.55,1.2731292380952381
2003,4,328.18,1.5061224285714285
2003,5,355.68,1.637040761904762
2003,6,356.35,1.6351700952380952
2003,7,351.02,1.8768182272727272
2003,8,359.77,1.9021769047619048
2003,9,378.95,2.512006857142857
2003,10,378.92,3.4944099565217392
2003,11,389.91,3.513609
2003,12,406.95,3.6152273181818178
2004,1,413.79,4.77739275
2004,2,404.88,5.044473631578947
2004,3,406.67,4.4719875217391305
2004,4,403.26,4.609387761904762
2004,5,383.78,4.3092856
2004,6,392.37,4.48278919047619
2004,7,398.09,3.77319719047619
2004,8,400.51,2.3064285454545455
2004,9,405.28,2.2870749999999997
2004,10,420.46,1.9168706666666666
2004,11,439.38,1.5504081904761904
2004,12,442.08,1.7270130909090908
2005,1,424.03,1.6022857
2005,2,423.35,1.583684105263158
2005,3,434.32,1.4071428636363636
2005,4,429.23,1.6422448095238096
2005,5,421.87,1.951496619047619
2005,6,430.66,2.301038909090909
2005,7,424.48,2.4458571
2005,8,437.93,3.0317390869565215
2005,9,456.05,3.3882994761904763
2005,10,469.9,3.8656461428571425
2005,11,476.67,4.025782333333333
2005,12,510.1,3.8002040476190473
2006,1,549.86,3.6832143999999998
2006,2,555.0,3.6745113157894735
2006,3,557.09,3.8367702173913045
2006,4,610.65,4.228496263157895
2006,5,675.39,4.144155818181819
2006,6,596.15,3.9129220909090914
2006,7,633.71,3.3802855999999997
2006,8,632.59,2.8342856956521736
2006,9,598.19,3.13935715
2006,10,585.78,3.483376727272727
2006,11,627.83,4.102925238095238
2006,12,629.79,3.9369999499999997
2007,1,631.17,3.33635715
2007,2,664.75,3.279624105263158
2007,3,654.9,3.1597402272727275
2007,4,679.37,3.3157144
2007,5,666.86,3.1681818636363634
2007,6,655.49,2.945918238095238
2007,7,665.3,2.7199319523809526
2007,8,665.41,2.474968956521739
2007,9,712.65,2.7058647894736843
2007,10,754.6,3.382546565217391
2007,11,806.25,3.472176904761905
2007,12,803.2,3.57528575
2008,1,889.6,3.3385714285714285
2008,2,922.3,3.9515715
2008,3,968.43,4.8792143
2008,4,909.7,5.084220772727273
2008,5,888.66,4.41843519047619
2008,6,889.49,4.367619
2008,7,939.77,4.017532363636364
2008,8,839.03,4.368843523809524
2008,9,829.93,4.346530571428572
2008,10,806.62,3.3458384347826087
2008,11,760.86,3.1278946842105264
2008,12,816.09,3.866947954545455
2009,1,858.69,4.59564275
2009,2,943.16,5.250526263157894
2009,3,924.27,5.696818227272727
2009,4,890.2,6.548571476190476
2009,5,928.64,5.7457858
2009,6,945.67,5.6934415454545455
2009,7,934.23,6.063896045454545
2009,8,949.38,6.373197380952381
2009,9,996.59,6.382925095238095
2009,10,1043.16,7.032077909090909
2009,11,1127.04,8.3131428
2009,12,1134.72,8.009350590909092
2010,1,1117.96,7.559172894736841
2010,2,1095.41,9.061353368421052
2010,3,1113.34,10.148198826086956
2010,4,1148.69,12.803673476190475
2010,5,1205.43,14.55871425
2010,6,1232.92,16.66551940909091
2010,7,1192.97,16.03925176190476
2010,8,1215.81,17.558701227272728
2010,9,1270.98,21.353945523809525
2010,10,1342.02,22.851972619047622
2010,11,1369.89,25.266870714285716
2010,12,1390.55,26.44344140909091
2011,1,1356.4,27.08214295
2011,2,1372.73,31.82120294736842
2011,3,1424.01,30.755652304347826
2011,4,1473.81,34.05707135
2011,5,1510.44,34.85414961904762
2011,6,1528.66,37.053830772727274
2011,7,1572.81,40.2927141
2011,8,1755.81,33.33248465217391
2011,9,1771.85,23.957482952380953
2011,10,1665.21,15.272176761904761
2011,11,1738.98,11.394829857142858
2011,12,1652.31,10.04346938095238
2012,1,1656.12,13.964500000000001
2012,2,1742.62,17.1315003
2012,3,1673.77,16.143117
2012,4,1650.07,14.41199985
2012,5,1585.5,10.426818136363636
2012,6,1596.7,9.393401333333333
2012,7,1593.91,10.750612285714286
2012,8,1626.03,8.676645956521739
2012,9,1744.45,8.082481052631579
2012,10,1747.01,9.397278857142856
2012,11,1721.14,11.434557761904761
2012,12,1688.53,12.772142800000001
2013,1,1670.95,16.71625861904762
2013,2,1627.59,26.06526310526316
2013,3,1592.86,26.38478575
2013,4,1485.08,26.118636318181817
2013,5,1413.5,31.959999954545456
2013,6,1342.36,31.27542805
2013,7,1286.72,35.15986986363637
2013,8,1347.1,37.74486977272728
2013,9,1348.8,43.352857
2013,10,1316.18,45.95981343478261
2013,11,1275.82,48.954785650000005
2013,12,1225.4,52.57870733333333
2014,1,1244.8,51.3040819047619
2014,2,1300.97,61.63127800000001
2014,3,1336.08,59.2648299047619
2014,4,1299.0,48.660476095238096
2014,5,1287.53,51.77571438095238
2014,6,1279.1,61.90068019047619
2014,7,1310.97,63.202662181818184
2014,8,1295.99,65.31721095238095
2014,9,1238.82,66.11646266666666
2014,10,1222.49,58.92614934782609
2014,11,1176.3,53.34631589473685
2014,12,1202.29,48.51396086363636
2015,1,1251.85,53.4093576
2015,2,1227.19,66.13172942105263
2015,3,1178.63,62.52298672727272
2015,4,1197.91,72.26054447619047
2015,5,1199.05,85.19992825
2015,6,1181.5,93.2049994090909
2015,7,1130.04,104.23883059090909
2015,8,1117.47,117.50285638095238
2015,9,1124.53,100.5657151904762
2015,10,1159.25,105.58772759090908
2015,11,1085.7,116.0694996
2015,12,1068.25,121.29636322727274
2016,1,1097.37,105.44789489473683
2016,2,1199.91,89.96950000000001
2016,3,1246.34,99.31590927272727
2016,4,1242.26,100.81190457142858
2016,5,1259.4,93.17476147619047
2016,6,1276.4,94.29863663636364
2016,7,1337.33,93.16349985000001
2016,8,1341.09,95.62260904347826
2016,9,1326.03,97.44857128571428
2016,10,1266.57,113.15666704761904
2016,11,1235.98,118.38380928571429
2016,12,1151.4,124.00714328571428
2017,1,1192.62,134.87600064999998
2017,2,1234.36,142.49736984210526
2017,3,1231.09,143.22695586956522
2017,4,1265.63,145.45789463157894
2017,5,1245.0,158.39500081818184
2017,6,1260.26,156.51136368181818
2017,7,1236.22,169.4464997
2017,8,1282.32,172.3895642173913
2017,9,1314.98,181.6665008
2017,10,1279.51,194.27772659090908
2017,11,1282.28,195.22333347619048
2017,12,1261.26,187.85450054999998
2018,1,1331.67,232.9080955714286
2018,2,1331.53,271.4436831052632
2018,3,1324.66,312.22809704761903
2018,4,1334.74,307.46619228571427
2018,5,1303.03,331.5368194545454
2018,6,1281.57,384.1333357142857
2018,7,1238.53,381.5152384285714
2018,8,1201.25,346.2578243913043
2018,9,1198.47,362.6415758421053
2018,10,1215.39,335.44565226086956
2018,11,1220.95,290.3447642857143
2018,12,1247.92,265.30262999999997
2019,1,1291.75,325.81428742857145
2019,2,1320.07,355.60789557894736
2019,3,1300.9,359.43571242857143
2019,4,1286.45,366.1457141428572
2019,5,1283.95,359.44999972727277
2019,6,1359.04,356.61599885
2019,7,1412.98,350.78181590909094
2019,8,1498.8,303.1281795
2019,9,1511.31,281.94549865
2019,10,1494.8,277.63651973913045
2019,11,1470.02,299.12549895
2019,12,1476.04,314.6038090952381
2020,1,1560.67,338.83285666666666
2020,2,1597.1,373.9884224736842
2020,3,1591.93,350.58727054545454
2020,4,1682.93,404.31095085714287
2020,5,1716.38,433.29400024999995
2020,6,1732.22,438.9777277727273
2020,7,1843.31,499.3850029545454
2020,8,1968.56,498.07476242857143
2020,9,1922.21,495.55333304761905
2020,10,1900.28,515.1418137727273
2020,11,1863.49,487.44400015
2020,12,1855.96,516.5690903181818
2021,1,1866.99,526.8168447894736
2021,2,1808.18,548.9599994736842
2021,3,1718.23,518.123482173913
2021,4,1761.68,533.1366620952381
2021,5,1853.22,496.71449735
2021,6,1834.57,503.3240911818182
2021,7,1807.09,528.6533304761904
2021,8,1783.97,532.346817
2021,9,1777.25,590.7952388095239
2021,10,1776.85,642.202849
2021,11,1820.23,667.5242861428571
2021,12,1786.65,608.4840892272728
2022,1,1816.77,487.85350035
2022,2,1856.3,400.98631689473683
2022,3,1947.83,366.7917413478261
2022,4,1933.9,297.41449885000003
2022,5,1848.3,186.4495239047619
2022,6,1833.83,184.8476199047619
2022,7,1736.37,199.089
2022,8,1765.65,233.02652182608696
2022,9,1682.97,232.11381166666666
2022,10,1664.45,256.2680954285714
2022,11,1726.45,283.1719055238095
2022,12,1796.74,302.04190495238095
2023,1,1898.63,334.75899960000004
