Year,Gold_USD_mean,NFLX_AdjClose_mean
2002,309.68,0.8501716363636364
2003,363.32,2.0812046626984126
2004,409.17,3.4134296944444444
2005,444.45,2.597261880952381
2006,603.77,3.69099603187251
2007,695.39,3.1239328565737052
2008,871.96,4.094669632411067
2009,972.35,6.322035134920634
2010,1224.52,16.824172293650793
2011,1571.52,27.493718773809526
2012,1668.98,11.855057136
2013,1411.23,35.27183092063492
2014,1266.4,57.49511906349206
2015,1160.06,91.89567448809524
2016,1250.8,102.03035719841269
2017,1257.15,165.37426305976095
2018,1268.49,319.2903190079681
2019,1392.6,328.8723800674603
2020,1769.59,446.8272328695652
2021,1798.61,558.2176972936508
2022,1800.09,284.6392436135458
2023,1940.54,383.92948472532186
